AASDHPPT	unnamed (+273100)
ABCB1	unnamed (-196920)
ABHD5	unnamed (+304938)
ADGRG6	unnamed (+172703)
AJAP1	unnamed (+966188)
ANK1	unnamed (+128804)
ANK3	unnamed (+151052)
ANKS1B	unnamed (+122391)
ANLN	unnamed (-184341)
ANO5	unnamed (-764161)
APBA1	unnamed (+25256)
ARID1B	unnamed (-793135)
ARL4A	unnamed (+575838)
ATF7IP2	unnamed (-167380)
ATP11B	unnamed (-493040)
ATP2B1	unnamed (+135548)
ATP6V1G3	unnamed (-369459)
ATP8B4	unnamed (+291614)
ATXN1	unnamed (+380782)
AUH	unnamed (+75809)
AUTS2	unnamed (+817908), unnamed (+972258)
BACH2	unnamed (-193458)
BCL11B	unnamed (+25486)
BEND5	unnamed (+224292)
BOD1L1	unnamed (-339572)
BTBD9	unnamed (+606284)
BVES	unnamed (+49392)
C10orf76	unnamed (+99098)
C3orf58	unnamed (-73590)
CABYR	unnamed (+93384)
CACNA2D3	unnamed (+361367)
CAND1	unnamed (-336025)
CAVIN4	unnamed (+20817)
CBLN2	unnamed (-156937)
CCDC6	unnamed (-332022)
CCDC71L	unnamed (+118349)
CD1D	unnamed (-66256)
CD34	unnamed (-266467)
CDC42SE2	unnamed (-41199)
CDKAL1	unnamed (+41469)
CEBPB	unnamed (+39676)
CELF2	unnamed (+235514)
CELF4	unnamed (+27441)
CHST1	unnamed (+126541)
CITED2	unnamed (-145442)
CKMT2	unnamed (-104710)
CLEC14A	unnamed (-465672)
CLIC6	unnamed (+24048)
CNTN3	unnamed (+169753)
CNTN4	unnamed (-885429)
CNTN6	unnamed (+260824)
CNTNAP2	unnamed (-48263)
COL5A1	unnamed (-198229)
COMMD8	unnamed (+193026), unnamed (+236566)
CPO	unnamed (-72296)
CSF3R	unnamed (-141711)
CSMD2	unnamed (+269551)
CTIF	unnamed (+286401)
CTNNA2	unnamed (+478867)
CTSC	unnamed (-404244)
CTSH	unnamed (-83485)
CTSO	unnamed (-301878)
CTTNBP2	unnamed (-176890)
CYP19A1	unnamed (+208067)
DACH1	unnamed (+65162)
DBF4	unnamed (-78236)
DCDC1	unnamed (+137133)
DERA	unnamed (+254458)
DGKB	unnamed (+354641)
DHRS12	unnamed (+158639)
DKK2	unnamed (-147079)
DMD	unnamed (-759305)
DNAJC15	unnamed (-302621)
DNAJC19	unnamed (-308837)
DRD1	unnamed (+57468)
DUSP10	unnamed (+306576)
DYNC1I1	unnamed (+161208)
ECE1	unnamed (-34304)
EDNRB	unnamed (-490607)
EEPD1	unnamed (+52316)
EFNA5	unnamed (-198713)
EGFR	unnamed (+54309)
EMCN	unnamed (-608837)
ENPP7	unnamed (-118071)
ENSG00000259916	unnamed (+81504)
ENSG00000272305	unnamed (+24319)
ENSG00000284299	unnamed (+182648)
EPAS1	unnamed (-506931)
EPHB2	unnamed (+39565)
ERC2	unnamed (+148870)
ESAM	unnamed (-79938)
ETV1	unnamed (-558774), unnamed (+726822)
FAM124B	unnamed (+32818)
FAM153C	unnamed (+67331)
FAM189A2	unnamed (+317725)
FAM198B	unnamed (+33817)
FAM3D	unnamed (-716894)
FAM49A	unnamed (+231204)
FAM71C	unnamed (+214093)
FAT1	unnamed (-405235)
FAT3	unnamed (+256703)
FER	unnamed (-878214)
FEZ1	unnamed (+216398)
FGF7	unnamed (+404512)
FIG4	unnamed (+178695)
FLRT1	unnamed (-39203)
FLRT3	unnamed (-262205)
FOXG1	unnamed (+471689)
FUT8	unnamed (+341584)
GABRB1	unnamed (+195793), unnamed (+239333)
GADL1	unnamed (-400083)
GALNT17	unnamed (-714928), unnamed (-560578), unnamed (-486015), unnamed (+232466)
GALNT2	unnamed (-96292)
GFOD1	unnamed (+42361)
GMPR	unnamed (+142094)
